MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
ToyotaFortunerSigma4,Toyota,Fortuner,Sigma4,SUV,Diesel,1,Automatic,Other,"25,000",1,7.7,7,3946759,2974683,24.6
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,7,Manual,Grey,"121,000",2,4.4,9.1,1317441,734262,44.3
ToyotaEtios LivaG,Toyota,Etios Liva,G,Hatchback,Petrol,7,Manual,White,"59,000",1,4.6,7.6,560559,211200,62.3
ToyotaEtios LivaG,Toyota,Etios Liva,G,Hatchback,Petrol,7,Manual,sky blue,"24,375",1,6.8,7,560559,297078,47.0
ToyotaEtios LivaGD,Toyota,Etios Liva,GD,Hatchback,Petrol,5,Manual,Red,"49,345",1,5.4,9.9,691356,426550,38.3
ToyotaEtiosG,Toyota,Etios,G,Sedan,Petrol,7,Manual,silver,"48,370",1,6.4,4.4,700234,319968,54.3
ToyotaInnova2.0 VX 8 STR BS-IV,Toyota,Innova,2.0 VX 8 STR BS-IV,MUV,diesel,7,Manual,metallic,"73,620",1,5.7,7,1458510,934902,35.9
ToyotaCorolla Altis1.8 J,Toyota,Corolla Altis,1.8 J,Sedan,Petrol,8,Manual,Golden,"64,000",1,6.4,9.2,1352344,457525,66.2
ToyotaInnova2.5 G 8 STR BS-III,Toyota,Innova,2.5 G 8 STR BS-III,MUV,diesel,4,Manual,White,"19,000",1,4.3,7.2,1465683,1112725,24.1
ToyotaEtiosVX,Toyota,Etios,VX,Sedan,CNG,7,Manual,White,"460,000",2,5,3.8,855453,379950,55.6
ToyotaInnova2.5 G4 7 STR,Toyota,Innova,2.5 G4 7 STR,MUV,diesel,12,Manual,Beige,"97,000",1,4.3,9.9,1115556,356799,68.0
ToyotaInnova2.5 VX 7 STR BS-IV,Toyota,Innova,2.5 VX 7 STR BS-IV,MUV,Diesel,6,Manual,Bronze,"51,000",2,8.2,9.4,1738257,986542,43.2
ToyotaInnova2.5 G4 8 STR,Toyota,Innova,2.5 G4 8 STR,MUV,diesel,11,Manual,Red,"82,800",2,4.3,7.6,1120298,435918,61.1
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,4,Manual,White,"48,553",1,4.6,7.3,1525510,964525,36.8
Maruti SuzukiSwiftZxi1.3,Maruti Suzuki,Swift,Zxi1.3,Hatchback,Petrol,11,Manual,Red,"56,137",1,9.9,7.2,640982,264292,58.8
Maruti SuzukiSwiftVxi1.3,Maruti Suzuki,Swift,Vxi1.3,Hatchback,Petrol,11,Manual,White,"87,000",2,4.9,8.8,563323,158400,71.9
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,3,Manual,Grey,"15,000",1,9.9,7,533447,342958,35.7
Maruti SuzukiEsteemLxi,Maruti Suzuki,Esteem,Lxi,Sedan,Petrol,12,Manual,Silver,"90,000",1,9.9,8.5,553462,80080,85.5
Maruti SuzukiEstiloVXi,Maruti Suzuki,Estilo,VXi,Hatchback,Petrol,8,Manual,Golden,"55,000",1,5,6.3,424393,145200,65.8
Maruti SuzukiSwift DzireVXi 1.2 BS-IV,Maruti Suzuki,Swift Dzire,VXi 1.2 BS-IV,Sedan,Petrol,5,Manual,Red,"35,305",1,5,5.6,653057,403200,38.3
Maruti SuzukiErtigaVXI CNG,Maruti Suzuki,Ertiga,VXI CNG,MUV,Petrol + CNG,5,Manual,Beige,"74,244",1,5.8,4.6,936485,537909,42.6
Maruti SuzukiAltoLXi BS-IV,Maruti Suzuki,Alto,LXi BS-IV,Hatchback,Petrol,6,Manual,Blue,"38,000",1,6.4,9.2,342090,176000,48.6
Maruti SuzukiSwiftVxi1.3,Maruti Suzuki,Swift,Vxi1.3,Hatchback,Petrol,11,Manual,Grey,"81,355",1,6.4,9.9,563323,167200,70.3
Maruti SuzukiSwiftZXi,Maruti Suzuki,Swift,ZXi,Hatchback,Petrol,10,Manual,White,"86,756",2,4.3,8.2,598134,158400,73.5
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,6,Manual,Black,"50,000",1,4.3,5.7,828687,449992,45.7
Maruti SuzukiAlto K10LXi,Maruti Suzuki,Alto K10,LXi,Hatchback,Petrol,4,Manual,Grey,"30,000",1,4.3,9.9,417260,184800,55.7
Maruti SuzukiErtigaZDI SHVS,Maruti Suzuki,Ertiga,ZDI SHVS,MUV,Diesel,1,Manual,Grey,"9,950",1,4.8,6.5,1234664,989100,19.9
Maruti SuzukiCiazZDi,Maruti Suzuki,Ciaz,ZDi,Sedan,Diesel,4,Manual,Golden,"62,000",1,4.6,7.7,1127358,597622,47.0
