MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
Maruti SuzukiSwift DzireVDi BS-IV,Maruti Suzuki,Swift Dzire,VDi BS-IV,Sedan,diesel,4,Manual,Blue,"13,990",1,4.5,4.2,783061,592800,24.3
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,8,Manual,Red,"78,000",2,4,7.2,806541,265200,67.1
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,10,Manual,Red,"75,000",2,4.3,9.9,750204,176000,76.5
Maruti SuzukiWagon R 1.0LXi,Maruti Suzuki,Wagon R 1.0,LXi,Hatchback,Petrol,2,Manual,Other,"20,000",1,4.8,5.9,490492,370678,24.4
Maruti SuzukiEstiloVXi,Maruti Suzuki,Estilo,VXi,Hatchback,Petrol,8,Manual,Silver,"39,000",1,4.5,5.9,424393,171600,59.6
Maruti SuzukiWagon RLxiBs-iv,Maruti Suzuki,Wagon R,LxiBs-iv,Hatchback,Petrol,8,Manual,Blue,"21,023",1,4.5,4.2,476354,247072,48.1
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,7,Manual,White,"63,000",1,4.8,4.5,507718,287950,43.3
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,6,Manual,White,"79,000",1,4.6,4.2,533447,260662,51.1
Maruti SuzukiA-StarVxi (ABS) AT,Maruti Suzuki,A-Star,Vxi (ABS) AT,Hatchback,Petrol,6,Automatic,White,"28,000",1,4.5,7.8,529908,278838,47.4
Maruti SuzukiWagon R 1.0VXi,Maruti Suzuki,Wagon R 1.0,VXi,Hatchback,Petrol,6,Manual,Blue,"24,000",1,4.5,4.2,520309,317216,39.0
Maruti SuzukiAltoLXI,Maruti Suzuki,Alto,LXI,Hatchback,Petrol,8,Manual,Black,"76,722",1,4.3,7.2,336331,136400,59.4
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,11,Manual,Red,"70,000",1,4.5,4.8,505259,162800,67.8
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,4,Manual,Brown,"31,000",1,4.3,4.4,533447,342958,35.7
Maruti SuzukiSwift DzireLXi,Maruti Suzuki,Swift Dzire,LXi,Sedan,Petrol,6,Manual,Blue,"57,800",1,4.8,4,641315,333750,48.0
Maruti SuzukiErtigaZDi,Maruti Suzuki,Ertiga,ZDi,MUV,Diesel,6,Manual,Beige,"42,000",1,5,5.4,1031250,616950,40.2
Maruti SuzukiSwiftLDi,Maruti Suzuki,Swift,LDi,Hatchback,Diesel,7,Manual,Grey,"70,000",1,4.8,4.2,566633,310800,45.1
Maruti SuzukiSwiftVXi 1.2 BS-IV,Maruti Suzuki,Swift,VXi 1.2 BS-IV,Hatchback,Petrol,8,Manual,Silver,"21,000",1,4.5,4.8,536698,278838,48.0
Maruti SuzukiSwift DzireVXI AT,Maruti Suzuki,Swift Dzire,VXI AT,Sedan,Petrol,2,Automatic,White,"16,000",1,3.8,9.1,792908,616950,22.2
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,8,Manual,White,"40,000",2,4.5,4.4,505259,283392,43.9
Maruti SuzukiErtigaZXI,Maruti Suzuki,Ertiga,ZXI,MUV,Petrol,4,Manual,Grey,"42,000",1,4.8,4,965624,694902,28.0
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,12,Manual,Red,"61,000",1,4.5,8.5,507718,158400,68.8
Maruti SuzukiEstiloLXi,Maruti Suzuki,Estilo,LXi,Hatchback,Petrol,11,Manual,Pink,"55,000",1,5,4.2,394409,118800,69.9
Maruti SuzukiAlto K10VXi,Maruti Suzuki,Alto K10,VXi,Hatchback,Petrol,6,Manual,White,"52,687",1,3.8,5,436340,242550,44.4
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,8,Manual,Silver,"24,321",1,4.5,7.4,828687,342958,58.6
Maruti SuzukiSx4VDI,Maruti Suzuki,Sx4,VDI,Sedan,Petrol + CNG,10,Manual,White,"6,000",2,5.9,9.3,970559,215600,77.8
Maruti SuzukiSwiftVDi BS-IV,Maruti Suzuki,Swift,VDi BS-IV,Hatchback,Diesel,8,Manual,Silver,"58,003",1,5,4.5,631156,333750,47.1
Maruti SuzukiAltoLX BS-IV,Maruti Suzuki,Alto,LX BS-IV,Hatchback,Petrol,8,Manual,Maroon,"52,000",1,4.5,6.8,320206,162800,49.2
Maruti SuzukiWagon R 1.0LXi,Maruti Suzuki,Wagon R 1.0,LXi,Hatchback,Petrol + LPG,7,Manual,White,"25,724",1,4.5,7.2,490492,211200,56.9
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,5,Manual,Silver,"35,225",1,4.3,4.2,475198,310800,34.6
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,4,Manual,Silver,"12,500",1,5,5.9,514112,324558,36.9
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,5,Manual,Blue,"64,038",1,9.5,4.2,475198,287950,39.4
Maruti SuzukiA-StarLxi,Maruti Suzuki,A-Star,Lxi,Hatchback,Petrol,8,Manual,Silver,"50,000",2,4.5,8.2,435033,154000,64.6
Maruti SuzukiSwiftVxi1.3,Maruti Suzuki,Swift,Vxi1.3,Hatchback,Petrol,9,Manual,Grey,"106,000",1,5,8.3,563323,206800,63.3
Maruti SuzukiWagon R 1.0VXi,Maruti Suzuki,Wagon R 1.0,VXi,Hatchback,Petrol,4,Manual,Brown,"10,000",1,5,4,520309,366048,29.6
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,9,Manual,Silver,"67,833",2,9.9,6.6,828687,242550,70.7
Maruti SuzukiSwift DzireVXi 1.2 BS-IV,Maruti Suzuki,Swift Dzire,VXi 1.2 BS-IV,Sedan,Petrol,8,Manual,Blue,"76,500",1,4.3,4.2,653057,347568,46.8
Maruti SuzukiSwiftLxi1.3,Maruti Suzuki,Swift,Lxi1.3,Hatchback,Petrol,12,Manual,Black,"60,000",2,4.5,4.7,464829,171600,63.1
Maruti SuzukiSwift DzireZXi,Maruti Suzuki,Swift Dzire,ZXi,Sedan,Petrol,7,Manual,Silver,"46,000",1,4.5,4.4,812098,398542,50.9
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,5,Manual,Beige,"74,325",1,3.3,7.2,514112,297078,42.2
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,5,Manual,Silver,"65,351",1,3.5,6.8,514112,297078,42.2
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,5,Manual,Grey,"59,443",1,3.8,4.6,505259,306222,39.4
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,6,Manual,Red,"37,588",1,4.8,4.8,507718,398542,21.5
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,5,Manual,White,"11,291",1,6.8,5.4,507718,426550,16.0
Maruti SuzukiWagon R 1.0LXi,Maruti Suzuki,Wagon R 1.0,LXi,Hatchback,Petrol,3,Manual,Silver,"35,000",1,4.8,5,490492,352182,28.2
Maruti SuzukiA-StarVxi,Maruti Suzuki,A-Star,Vxi,Hatchback,Petrol,6,Manual,Pink,"52,000",1,4.3,4.2,470900,215600,54.2
Maruti SuzukiA-StarVxi,Maruti Suzuki,A-Star,Vxi,Hatchback,Petrol,6,Manual,Other,"52,000",1,4.8,4,470900,215600,54.2
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,8,Manual,Silver,"42,650",1,4.5,5.2,750204,260662,65.3
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,11,Manual,Golden,"45,000",1,4.5,4.4,750204,220000,70.7
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,8,Manual,White,"84,000",2,4.8,6.1,806541,265200,67.1
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,11,Manual,Grey,"80,000",2,5,4.2,806541,220000,72.7
Maruti SuzukiSwiftLXi,Maruti Suzuki,Swift,LXi,Hatchback,Petrol,9,Manual,White,"81,000",2,4.3,7.4,463670,202400,56.3
Maruti SuzukiRitzVdi BS-IV,Maruti Suzuki,Ritz,Vdi BS-IV,Hatchback,Diesel,6,Manual,Grey,"55,000",1,4.3,5.9,651184,324558,50.2
Maruti SuzukiSwiftVDi BS-IV,Maruti Suzuki,Swift,VDi BS-IV,Hatchback,Diesel,8,Manual,Silver,"58,000",1,4.3,5.4,631156,333750,47.1
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,12,Manual,Red,"47,000",2,4.5,6.3,505259,145200,71.3
Maruti SuzukiSx4VXI BS-IV,Maruti Suzuki,Sx4,VXI BS-IV,Sedan,Petrol,7,Manual,Silver,"52,000",1,4.3,7.8,825224,251598,69.5
Maruti SuzukiSwiftVxi1.3,Maruti Suzuki,Swift,Vxi1.3,Hatchback,Petrol,10,Manual,Red,"43,000",2,4.5,6.1,563323,198000,64.9
Maruti SuzukiSwift DzireLXi,Maruti Suzuki,Swift Dzire,LXi,Sedan,Petrol,6,Manual,White,"86,000",1,4.6,6,641315,287950,55.1
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,6,Manual,Silver,"59,000",1,4.8,4.8,870791,450000,48.3
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,10,Manual,Silver,"48,000",1,4.5,5.4,828687,206800,75.0
Maruti SuzukiErtigaVDi,Maruti Suzuki,Ertiga,VDi,MUV,Diesel,6,Manual,White,"60,000",1,4.8,5.4,953818,544800,42.9
Maruti SuzukiAlto 800LXI,Maruti Suzuki,Alto 800,LXI,Hatchback,Petrol,3,Manual,Red,"13,316",1,4.5,4.2,375111,256128,31.7
Maruti SuzukiSwift DzireVXi,Maruti Suzuki,Swift Dzire,VXi,Sedan,Petrol,6,Manual,White,"70,002",1,4.8,4.2,741508,398542,46.3
Maruti SuzukiEeco5 STR WITH A/C+HTR CNG,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR CNG,Van,Petrol + CNG,6,Manual,Silver,"55,000",1,4.8,4.5,503628,242550,51.8
Maruti SuzukiWagon RLXi Minor,Maruti Suzuki,Wagon R,LXi Minor,Hatchback,Petrol,11,Manual,Maroon,"70,001",1,5,5.2,412035,162800,60.5
Maruti SuzukiSx4VXI BS-IV,Maruti Suzuki,Sx4,VXI BS-IV,Sedan,Petrol,8,Manual,White,"55,312",1,4.5,6.2,825224,242550,70.6
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,7,Manual,Grey,"51,000",2,5,4,533447,242550,54.5
Maruti SuzukiAltoLXi CNG,Maruti Suzuki,Alto,LXi CNG,Hatchback,Petrol + CNG,10,Manual,Blue,"45,000",1,4.5,8.4,383922,132000,65.6
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,5,Manual,Golden,"47,000",1,4.8,6.1,514112,260662,49.3
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,4,Manual,Red,"17,000",1,9.9,4.2,505259,356800,29.4
Maruti SuzukiAltoLXi CNG,Maruti Suzuki,Alto,LXi CNG,Hatchback,Petrol + CNG,6,Manual,Silver,"30,000",1,9.9,5.2,383922,198000,48.4
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,11,Manual,Red,"37,281",1,9.9,4.6,507718,198000,61.0
Maruti SuzukiCiazVDi +,Maruti Suzuki,Ciaz,VDi +,Sedan,Diesel,3,Manual,White,"47,500",1,9.8,7.2,979488,788800,19.5
Maruti SuzukiSwiftLXi 1.2 BS-IV,Maruti Suzuki,Swift,LXi 1.2 BS-IV,Hatchback,Petrol + CNG,8,Manual,White,"38,000",1,5.5,4.2,470625,301648,35.9
Maruti SuzukiErtigaVDi,Maruti Suzuki,Ertiga,VDi,MUV,Diesel,5,Manual,Black,"51,352",1,3.8,4.6,953818,690000,27.7
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,5,Manual,Grey,"60,000",1,3.8,4.2,505259,306222,39.4
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,8,Manual,White,"23,057",1,4.5,4.2,828687,324558,60.8
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,6,Manual,White,"57,001",1,3.8,3.6,475198,287950,39.4
Maruti SuzukiRitzVdi BS-IV,Maruti Suzuki,Ritz,Vdi BS-IV,Hatchback,Diesel,9,Manual,Blue,"84,000",1,4.3,7.4,651184,233518,64.1
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,9,Manual,Black,"93,000",1,4,5.2,750204,220000,70.7
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,3,Manual,White,"37,000",1,3.3,7.2,514112,352182,31.5
Maruti SuzukiErtigaZDi,Maruti Suzuki,Ertiga,ZDi,MUV,Diesel,5,Manual,White,"55,000",1,3.8,4.2,1031250,694902,32.6
Maruti SuzukiErtigaZDi,Maruti Suzuki,Ertiga,ZDi,MUV,Diesel,5,Manual,Silver,"53,025",1,3.8,4.4,1031250,700790,32.0
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,CNG,3,Manual,Beige,"48,000",1,3.3,4.2,475198,384592,19.1
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol,6,Manual,Blue,"33,151",1,5,4.5,533447,310800,41.7
Maruti SuzukiCiazZXi  AT,Maruti Suzuki,Ciaz,ZXi  AT,Sedan,Petrol,3,Automatic,White,"12,828",1,4.5,6.6,1148243,838800,26.9
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,7,Manual,White,"91,879",1,4.6,4,870791,417198,52.1
Maruti SuzukiWagon R 1.0LXi,Maruti Suzuki,Wagon R 1.0,LXi,Hatchback,Petrol,10,Manual,Black,"82,000",1,4.3,8.5,490492,136400,72.2
Maruti SuzukiCelerioVxi,Maruti Suzuki,Celerio,Vxi,Hatchback,Petrol,3,Manual,Silver,"49,000",1,4.4,6.5,537022,356800,33.6
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,4,Manual,Other,"55,000",1,4.6,5.2,533447,333750,37.4
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,6,Manual,White,"44,000",1,4.3,4.4,750204,352182,53.1
Maruti SuzukiWagon R 1.0VXi,Maruti Suzuki,Wagon R 1.0,VXi,Hatchback,Petrol,3,Manual,Silver,"14,000",1,5,5.6,520309,352182,32.3
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,9,Manual,White,"54,000",1,4.5,6.8,806541,278838,65.4
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,12,Manual,Silver,"41,000",1,4.5,6.8,475198,136400,71.3
Maruti SuzukiAlto 800LXI,Maruti Suzuki,Alto 800,LXI,Hatchback,Petrol,3,Manual,White,"24,652",1,3.8,7.4,375111,220000,41.4
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,9,Manual,Silver,"50,000",1,4.5,6.8,806541,278838,65.4
Maruti SuzukiSwift DzireVXi,Maruti Suzuki,Swift Dzire,VXi,Sedan,Petrol,5,Manual,White,"44,000",1,4.3,7.4,741508,379950,48.8
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,9,Manual,Red,"88,000",2,4.3,7.4,806541,251598,68.8
Maruti SuzukiSwift DzireVXi 1.2 BS-IV,Maruti Suzuki,Swift Dzire,VXi 1.2 BS-IV,Sedan,Petrol,4,Manual,Beige,"51,000",1,3.5,7.2,653057,445302,31.8
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,diesel,5,Manual,White,"45,000",1,4,7.4,806541,435918,46.0
Maruti SuzukiRitzLdi BS-IV,Maruti Suzuki,Ritz,Ldi BS-IV,Hatchback,Diesel,8,Manual,Red,"65,004",1,4.8,4.2,607772,251598,58.6
Maruti SuzukiAlto 800LXI,Maruti Suzuki,Alto 800,LXI,Hatchback,Petrol,5,Manual,White,"77,316",1,3.3,3.2,375111,242550,35.3
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,9,Manual,White,"70,015",1,5,4.5,828687,220000,73.5
Maruti SuzukiRitzLdi BS-IV,Maruti Suzuki,Ritz,Ldi BS-IV,Hatchback,Diesel,7,Manual,Blue,"38,758",1,4.5,5.4,607772,265200,56.4
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,12,Manual,Blue,"102,900",3,4.3,7.1,475198,96800,79.6
Maruti SuzukiRitzVXI BS-IV,Maruti Suzuki,Ritz,VXI BS-IV,Hatchback,Petrol,8,Manual,Red,"41,000",1,4.5,7.4,566808,220000,61.2
Maruti SuzukiErtigaVDi,Maruti Suzuki,Ertiga,VDi,MUV,diesel,6,Manual,White,"80,011",1,3.3,6.4,953818,607278,36.3
Maruti SuzukiCiazZXI+,Maruti Suzuki,Ciaz,ZXI+,Sedan,Petrol,3,Manual,Silver,"25,620",1,6,5.8,1079072,738212,31.6
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,4,Manual,Silver,"68,000",1,4.9,5.2,806541,468832,41.9
Maruti SuzukiSwift DzireVXi,Maruti Suzuki,Swift Dzire,VXi,Sedan,Petrol,4,Manual,White,"53,000",1,3.5,7.4,741508,412528,44.4
Maruti SuzukiEstiloLXi,Maruti Suzuki,Estilo,LXi,Hatchback,Petrol,11,Manual,Silver,"51,000",1,4.5,7.2,394409,114400,71.0
Maruti SuzukiSwift DzireLXi,Maruti Suzuki,Swift Dzire,LXi,Sedan,Petrol,10,Manual,Grey,"97,000",1,4.8,4.4,641315,265200,58.6
Maruti SuzukiWagon RVxiBsIv,Maruti Suzuki,Wagon R,VxiBsIv,Hatchback,Petrol,6,Manual,Grey,"30,932",1,4.5,4.2,506416,283392,44.0
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,6,Manual,Grey,"21,360",1,4.5,5.4,507718,342958,32.5
Maruti SuzukiEstiloVXi,Maruti Suzuki,Estilo,VXi,Hatchback,Petrol,8,Manual,Beige,"51,000",5,4.5,8,424393,184800,56.5
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,8,Manual,Blue,"78,000",1,4,4.2,475198,220000,53.7
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,5,Manual,Blue,"44,000",1,4.3,4.2,475198,324558,31.7
Maruti SuzukiEeco5 STR WITH A/C+HTR CNG,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR CNG,Van,Petrol + CNG,8,Automatic,White,"67,000",1,4.3,4.9,503628,215600,57.2
Maruti SuzukiErtigaZDi,Maruti Suzuki,Ertiga,ZDi,MUV,Diesel,5,Manual,Silver,"53,000",1,3.8,4.2,1031250,704718,31.7
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,diesel,6,Manual,White,"70,000",1,3.5,4.7,806541,379950,52.9
Maruti SuzukiErtigaVDi,Maruti Suzuki,Ertiga,VDi,MUV,Diesel,3,Manual,White,"55,570",1,3.3,4.6,953818,724398,24.1
Maruti SuzukiSwift DzireLDi,Maruti Suzuki,Swift Dzire,LDi,Sedan,diesel,7,Manual,Silver,"45,104",1,4.3,5.4,768774,356800,53.6
Maruti SuzukiSwift DzireVXi,Maruti Suzuki,Swift Dzire,VXi,Sedan,Petrol,6,Manual,Silver,"27,118",1,4.5,4.7,741508,403200,45.6
Maruti SuzukiSwift DzireVXi,Maruti Suzuki,Swift Dzire,VXi,Sedan,Petrol,7,Manual,White,"95,000",1,3.8,5.6,741508,291599,60.7
Maruti SuzukiErtigaVXI,Maruti Suzuki,Ertiga,VXI,MUV,Petrol,3,Automatic,White,"41,000",1,3.3,5.2,899612,641199,28.7
Maruti SuzukiSx4VXI CNG BS-IV,Maruti Suzuki,Sx4,VXI CNG BS-IV,Sedan,Petrol + CNG,7,Manual,White,"42,212",1,5,4,864940,333750,61.4
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,CNG,6,Manual,Silver,"44,203",1,4.8,4.5,533447,324558,39.2
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,8,Manual,Golden,"85,000",1,4.8,9.3,462988,158400,65.8
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,White,"42,500",1,5,4.5,585070,274288,53.1
Maruti SuzukiSx4VXI BS-IV,Maruti Suzuki,Sx4,VXI BS-IV,Sedan,Petrol,8,Manual,Silver,"44,000",1,4.5,4.9,825224,265200,67.9
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,9,Manual,Red,"93,000",2,4,7.2,870791,274288,68.5
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,6,Manual,White,"65,000",1,4.8,5.8,507718,356800,29.7
Maruti SuzukiErtigaVXI CNG,Maruti Suzuki,Ertiga,VXI CNG,MUV,Petrol + CNG,4,Manual,White,"50,000",1,4.6,4.2,936485,636342,32.0
Maruti SuzukiErtigaZDi,Maruti Suzuki,Ertiga,ZDi,MUV,Diesel,5,Manual,White,"82,000",1,4.4,4.8,1031250,685102,33.6
Maruti SuzukiSx4VXI BS-IV,Maruti Suzuki,Sx4,VXI BS-IV,Sedan,Petrol,10,Manual,White,"64,000",1,4.5,8.4,825224,162800,80.3
Maruti SuzukiCiazZXi,Maruti Suzuki,Ciaz,ZXi,Sedan,Petrol,4,Automatic,White,"29,498",1,9.9,8.2,1014512,754038,25.7
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,5,Manual,Silver,"64,142",1,4.6,4.2,870791,473550,45.6
Maruti SuzukiAlto K10VXi,Maruti Suzuki,Alto K10,VXi,Hatchback,Petrol,7,Manual,Red,"41,510",1,4.5,7.4,436340,184800,57.6
Maruti SuzukiErtigaVXI,Maruti Suzuki,Ertiga,VXI,MUV,Petrol,4,Manual,Silver,"47,003",1,4.8,4.2,899612,578358,35.7
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,3,Manual,Maroon,"39,000",1,4.6,4,870791,616950,29.2
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,10,Manual,Silver,"64,000",1,5,4.2,828687,242550,70.7
Maruti SuzukiWagon RLXI,Maruti Suzuki,Wagon R,LXI,Hatchback,Petrol,4,Manual,Brown,"35,000",1,4.8,4,475198,328233,30.9
Maruti SuzukiSwiftZxi1.3,Maruti Suzuki,Swift,Zxi1.3,Hatchback,Petrol,8,Manual,White,"64,479",3,4.3,5.2,640982,265200,58.6
Maruti SuzukiAlto 800LXI CNG,Maruti Suzuki,Alto 800,LXI CNG,Hatchback,Petrol + CNG,5,Manual,Blue,"33,000",1,4.3,5.4,431012,203280,52.8
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,8,Manual,Black,"56,000",1,4.5,5.6,507718,251598,50.4
Maruti SuzukiSwiftZXi,Maruti Suzuki,Swift,ZXi,Hatchback,Petrol,5,Manual,White,"55,686",1,4.8,6,598134,398542,33.4
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,7,Manual,Silver,"72,000",1,4,8,505259,199760,60.5
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,5,Manual,Silver,"67,000",1,4.6,5.4,533447,287950,46.0
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,10,Manual,White,"98,000",2,4.3,7.6,870791,256128,70.6
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,4,Manual,Silver,"67,000",2,9.3,8.2,750204,403200,46.3
Maruti SuzukiSwiftLDi,Maruti Suzuki,Swift,LDi,Hatchback,Diesel,8,Manual,White,"64,000",1,5,5.4,566633,287950,49.2
Maruti SuzukiErtigaVDi,Maruti Suzuki,Ertiga,VDi,MUV,Diesel,4,Manual,Silver,"39,312",1,3.8,4.4,953818,685102,28.2
Maruti SuzukiErtigaZXI,Maruti Suzuki,Ertiga,ZXI,MUV,Petrol,4,Automatic,White,"48,000",1,3.8,8.2,965624,739200,23.4
Maruti SuzukiEstiloLXi BS-IV,Maruti Suzuki,Estilo,LXi BS-IV,Hatchback,Petrol,6,Manual,Silver,"51,299",2,4.3,4.4,425547,233518,45.1
Maruti SuzukiErtigaZXI,Maruti Suzuki,Ertiga,ZXI,MUV,Petrol,2,Manual,Blue,"8,500",1,4.3,4.2,965624,783822,18.8
Maruti SuzukiErtigaVXI CNG,Maruti Suzuki,Ertiga,VXI CNG,MUV,Petrol + CNG,5,Manual,White,"250,000",5,3.3,8.3,936485,450000,51.9
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,diesel,6,Manual,Red,"570,000",1,4.3,8.2,806541,403200,50.0
Maruti SuzukiSwift DzireZDI,Maruti Suzuki,Swift Dzire,ZDI,Sedan,Diesel,6,Manual,White,"105,000",1,9.8,7.4,942668,497200,47.3
Maruti SuzukiBalenoLXi,Maruti Suzuki,Baleno,LXi,Hatchback,Petrol,12,Manual,Silver,"95,000",2,4.6,8.9,677263,74800,89.0
Maruti SuzukiWagon R 1.0LXi,Maruti Suzuki,Wagon R 1.0,LXi,Hatchback,Petrol,10,Manual,Silver,"68,859",3,4.5,9.9,490492,127600,74.0
Maruti SuzukiWagon R 1.0VXi,Maruti Suzuki,Wagon R 1.0,VXi,Hatchback,Petrol,5,Manual,Brown,"50,000",1,3.8,4.4,520309,319968,38.5
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,4,Manual,Brown,"31,000",1,4.3,4.8,514112,333750,35.1
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,4,Manual,Grey,"40,000",1,3.8,4.4,806541,520950,35.4
Maruti SuzukiSwift DzireVXi,Maruti Suzuki,Swift Dzire,VXi,Sedan,Petrol,6,Manual,White,"70,000",1,3.8,4.8,741508,398542,46.3
